name,born_year,bio,Filmography
B.J. Novak,1979,"
          B.J. Novak was born on July 31, 1979 in Newton, Massachusetts, USA. He is an actor and producer, known for   (2005),   (2009) and   (2013). 
          ",Young People;Vengeance;The Premise;Gotham Reads;Threat Level Midnight: The Movie;The Office;Konttori;The Mindy Project;The Office;The Offensive Show;Raising Dad
Tucker Gates,,,Art in the Twenty-First Century
Harold Ramis,1944,"
          Born on November 21, 1944 in Chicago, Illinois, Harold Allen Ramis got his start in comedy as Playboy magazine's joke editor and reviewer. In 1969, he joined Chicago's Second City's Improvisational Theatre Troupe before moving to New York to help write and perform in ""The National Lampoon Show"" with other Second City graduates including  ,   and  . By 1976, he was head writer and a regular performer on the top Canadian comedy series   (1976). His Hollywood debut came when he collaborated on the script for National Lampoon's   (1978) which was produced by  . After that, he worked as writer with Ivan as producer on   (1979),   (1981),   (1984) and   (1989) and acted in the latter three. Harold Ramis died on February 24, 2014 at age 69 from complications of autoimmune inflammatory vasculitis. 
          ",Joffrey: Mavericks of American Dance;Year One;My Suicide;I Want Someone to Eat Cheese With;The First $20 Million Is Always the Hardest;The Inspector General;Bedazzled;Multiplicity;Groundhog Day;Will Rogers: Look Back in Laughter;Armed and Dangerous;Back to School;The Top;The Rodney Dangerfield Show: It's Not Easy Bein' Me;Second City TV;TVTV Looks at the Academy Awards
Brent Forrester,1967,"
          Brent Forrester was born on May 12, 1967 in Los Angeles, California, USA. He is a producer and writer, known for   (2005),   (2016) and   (1997). He is married to  . 
          ",Nickelodeon Kids' Choice Awards '05;Clock Tower 3;1998 MTV Movie Awards;The Simpsons;1995 MTV Movie Awards
Jennifer Celotta,1971,"
          Jennifer Celotta was born on November 11, 1971 in Gaithersburg, Maryland, USA. She is a producer and writer, known for   (2005),   (2002) and   (2000). 
          ",Two Guys and a Girl;Home Improvement: Backstage Pass;Home Improvement
Steve Carell,1962,"
          Steve Carell, one of America's most versatile comics, was born Steven John Carell on August 16, 1962, in Concord, Massachusetts. He is the son of Harriet Theresa (Koch), a psychiatric nurse, and Edwin A. Carell, an electrical engineer. His mother was of Polish descent and his father of Italian and German ancestry (Steve's grandfather had changed the surname from ""Caroselli"" to ""Carell""). Steve was educated at The Fenn School, an all-boys private school in Concord, Massachusetts, then at Middlesex School in Concord. After graduating from Denison University in Granville, Ohio, he moved to Chicago where he taught an improvisational comedy class and performed with The Second City troupe, alongside  . Carell made his film debut as ""Tesio"" in   (1991). In 1996, he became a cast member of   (1996), and provided the voice for Gary, opposite Colbert in ""The Ambiguously Gay Duo"". This animated short series produced by   continued on   (1975), but Carell has joked that he auditioned for SNL and lost the job to  . Carell made a number of guest appearances on such shows as   (2004),   (1997), and   (2002), before landing a regular stint as a correspondent on   (1996) from 1999 until 2005. Carell played Evan Baxter opposite   in   (2003), and Uncle Arthur opposite   and   in   (2005). He broke out as a leading man after starring in the summer box-office hit   (2005), which he also co-wrote; the film was chosen as one of the Top Ten movies of 2006 by the American Film Institute. He next starred in the critically acclaimed   (2006), an indie dark comedy which became a surprise hit and earned four Oscar nominations, and won two (Best Supporting Actor for   and Best Screenplay for  ). In 2007, Carell reprised his role as Evan Baxter, filling Jim Carrey's leading-man shoes as a politician asked by God to build a giant ark in   (2007), the second installment of the ""Almighty"" franchise, co-starring   and  . In 2008, he re-united with Jim Carrey in the highly successful animation hit   (2008), then appeared as Agent Maxwell Smart in the popular comedy   (2008). Throughout this time, Carell maintained a successful career in television, starring as Michael Scott in the American remake of the Britain's existential comedy,   (2005). He received the Golden Globe Award for Best Actor in Television Comedy for this leading role in 2006, and earned both Emmy and Golden Globe nominations each consecutive show until he departed in 2011. In 2010, Carell announced he was leaving ""The Office"" to concentrate on his film career, and has made steady appearance in such films as   (2010),   (2010),   (2011), and   (2012). Carell's most recent roles are the comedies   (2013),   (2013), and   (2014), and the drama   (2014), and the more serious   (2018) and   (2018). Steve Carell has been enjoying a happy family life with his wife, actress  , whom he met when she was a student in an improv class he was teaching at The Second City comedy troupe in Chicago. The couple have two children, daughter Elizabeth (born in May 2001), and son John (born in June 2004). Steve Carell lives with his family in Los Angeles, California. 
          ",Our Thing;Space Force;Angie Tribeca;The Office;The 40 Year Old Virgin;The Dana Carvey Show;The Second City's 149 1/2 Edition
John Krasinski,1979,"
          Tall, handsome American film and television star John Krasinski is known for his role as sardonic nice guy Jim Halpert on NBC's popular TV series,   (2005), for which he won a 2007 and 2008 Screen Actors Guild Award for outstanding performance by an ensemble in a comedy series. Born John Burke Krasinski on October 20, 1979, in Newton, Massachusetts, USA, he is the youngest of three brothers. His mother, Mary Claire (Doyle), is a nurse, and his father, Ronald Krasinski, is an internist. His father is of Polish descent and his mother is of Irish ancestry. His first stage experience was starring in a satirical high school play, written and cast by his classmate  . Also good at sports, he played on the same Little League baseball team as Novak, later a writer and co-star on   (2005). After graduating from Newton South High School in 1997, Krasinski planned to be an English major and deferred his first semester of college to teach English in Costa Rica. He attended Brown University, graduating in 2001, as a playwright with honors, then studied at the   National Theatre Institute in Waterford, Connecticut. During the summer of 2000, he worked as a script intern on   (1993). Krasinski made his big screen debut in 2002, then played several small roles like ""Ben"" in   (2004), and ""Bob Flynn"" in   (2005). He appeared as ""Corporal Harrigan"" in   (2005), by director  , then played a supporting role as ""Ben"" in   (2006), a romantic comedy by director  . He is billed as the voice of ""Lancelot"" in   (2007). Krasinski co-starred opposite   and   in the romantic comedy   (2007), as well as with   and   in the football screwball comedy,   (2008). He is also director and writer of   (2009), a big screen adaptation of the eponymous collection of short stories by  . He followed that film up with   (2016), a family drama, and   (2018), a well-received horror film that had one of the biggest opening weekends for the genre. Krasinski is married to English actress  , with whom he has two children. He claims Los Angeles as his home but travels to New York City and his hometown of Newton, MA, frequently. 
          ",A Quiet Place Part III;A Quiet Place Part II;A Quiet Place;HitRECord on TV;Promised Land;Brief Interviews with Hideous Men
Rainn Wilson,1966,"
          Rainn Wilson lives in Los Angeles with his wife, fiction writer   (Big Cats), and his son, Walter McKenzie Wilson who was born in 2004. He grew up in Seattle, Washington but graduated from New Trier H.S. in Winnetka, Illinois. After attending both Tufts University and the University of Washington, Rainn studied acting at NYU's graduate acting program and spent years doing theater both on and off-Broadway, on tours with the Acting Company and in region theatre including The Guthrie and Arena Stage. Rainn co-created and directed The New Bozena, a sketch comedy and post-modern clown show which performed in New York and ended up doing a pilot presentation at Fox TV. He made his directorial debut with   (2005), a short film based on the show. After many years of working in TV and film, his breakthrough role happened, as Arthur, the odd love interest to the much older   on   (2001). His favorite role to date, however, is Bill Harris in the film,   (2003). Rainn is a member of the Baha'i Faith. 
          ",Dark Air with Terry Carnation;Star Trek: Short Treks;The Office;Blitzen Trapper Massacre;The New Bozena
Troy Miller,,"
          Troy Miller is a producer and director, known for   (2007),   (2003) and   (1998). 
          ","George Lopez: It's Not Me, It's You;Just for Laughs;Viva la Bam;The Entertainment Weekly Guide: Guilty Pleasures;20: Entertainment Weekly's Best Holiday Movies;20: Entertainment Weekly's Scariest Movies;Dumb and Dumberer: When Harry Met Lloyd;David Blaine: Vertigo;Contact: Talking to the Dead;The 20 Teens Who Will Change the World;The Television Show with John Henson;The 21 Hottest Stars Under 21;The Best Commercials You've Never Seen;Sports Illustrated 1994 Swimsuit Issue Video;The Sunday Comics"
Bryan Gordon,1947,"
          Bryan Gordon is a television and film director, writer, and producer. He has been nominated three times for the Directors Guild of America Award and received the Directors Guild award for comedy directing. He's been nominated for an Emmy twice - both for his work on the HBO series Curb Your Enthusiasm, which he directed numerous episodes over its entire run. He has directed such TV series as Grace and Frankie, The Office, Weeds, Studio 60 on the Sunset Strip, The West Wing, Ally McBeal, Boston Public, Sports Night, Freaks and Geeks and The Wonder Years. He also directed and produced the now legendary series Party Down for the Starz Network. He's directed numerous pilots - among them One Tree Hill - setting the look and design for the show's nine season run. He directed the 30 for 30 documentary short for ESPN, ""The Arnold Palmer, that was nominated for a Sports Emmy. He started his career as a comedy writer on Fridays and as an independent filmmaker that included writing and directing the Academy Award winning short Ray's Male Heterosexual Dance Hall and the feature Pie In The Sky. He is married to filmmaker   and they have a daughter, actress  . 
          ",Sin City Saints;Wedding Band;Portlandia;Party Down;Outnumbered
Dennie Gordon,1953,"
          Dennie Gordon has been a trailblazing female director her entire career; spanning the worlds of feature films, television series, mini-series and branded content. Her range of genre busting entertainment spans an unusual spectrum of comedy and drama. After being one of the first women to graduate from Yale's School of Drama with an MFA in Directing, Gordon first gained recognition when ""A Hard Rain"" was chosen by Showtime's Discovery Program. Thanks to Steven Spielberg, a rough cut of her film attracted the attention of George Lucas who donated the film's mix at Skywalker Ranch. ""A Hard Rain"" , which Gordon also wrote, went on to win dramatic awards at the British Short Film Festival and the Hampton's Film Festival. This film also caught the eye of David E. Kelley who enlisted Gordon to helm multiple episodes of his television series including ""Goliath"", (where she was Co EP) ""Picket Fences"", ""Chicago Hope"", ""Ally McBeal"", and ""The Practice"". Gordon has directed over 100 hours of network television including such critically acclaimed series as ""Legion"", which was on many critic's lists as a top 10 show of 2017, with the ""astounding direction of Dennie Gordon and her twisted visionary imagery taking the X-Men universe to a whole new level"". Her other work includes ""Bloodline"", ""Rectify Empire"", ""Kingdom"", ""Power"", ""Hell on Wheels"", ""Grace & Frankie"", ""The Office"", ""30 Rock"", Aaron Sorkin's ""Sports Night"", and HBO's ""Tracey Takes On"", for which Gordon won the DGA Comedy Award. Gordon recently completed the mini-series ""Waco"", ""Jack Ryan"" Season 2 and ""The Hunt"" starring Al Pacino. Gordon directed the comedy cult hit ""Joe Dirt"" starring David Spade, and Christopher Walken, and ""What A Girl Wants"" starring Oscar Winner Colin Firth, Dame Eileen Atkins, and Jonathan Pryce. Gordon was the first American woman to direct a film for the domestic Chinese market, called ""My Lucky Star"". The 2013 film starred Oscar nominee Zhang Ziyi and Wang Leehom and was filmed in China and Singapore in the summer of 2012. ""My Lucky Star"" was the number one film in China for 4 weeks on 5000 screens. Gordon is a sought after commercial director having completed campaigns for Honda, Toyota, Tsingtao beer and Xcel Energy as well as campaigns with Jimmy Fallon, Betty White, Adam Devine and Don Cheadle. She recently completed a short dramatic film for Huawei, which was shot in Prague. She is represented by CAA. 
          ",Isolation;Fei chang xing yun;A Hard Rain
Victor Nelli Jr.,,,Superstore;The Bold Type;Boys in Blue;Sirens;Schlub Life;GCB;Outsourced;CPA Holes;Ugly Betty
Jason Reitman,1977,"
          Jason Reitman is a Canadian filmmaker and producer who notably directed Ghostbusters: Afterlife, Juno, Thank You for Smoking, Up in the Air, Young Adult and Tully. He produced Chloe and Jennifer's Body, two films that advanced Amanda Seyfried's career for adult oriented roles. He is the son of Ivan Reitman, who directed the first two Ghostbusters films and Twins. 
          ","Ghostbusters: Afterlife;The Front Runner;Men, Women & Children;Labor Day;Up in the Air;Thank You for Smoking;Consent;Uncle Sam;Gulp;In God We Trust;H@;Operation"
Julian Farino,,"
          Julian Farino was born and raised in London and educated at Cambridge University. He began directing film documentaries at Granada Television in England, including One of the Girls about drag queens in Manchester and The Gift based on the famous Chethams College of Music. They Call Us Nutters was a fly on the wall observation of psychopaths in a maximum security hospital, the first time access had been granted, and Savage Skies was about the coldest inhabited place on earth, Oymyakon in Eastern Siberia, where temperatures fell to -55C. In 2000 he directed 7 Up 2000, featuring 7 year olds from all over Britain, a project that will continue as 14 Up in 2007. He has directed film drama in the UK since 1997, including an adaptation of Charles Dickens Our Mutual Friend which won 4 BAFTAs including Best Drama. Bob and Rose, a romantic comedy by Queer as Folk writer Russell T Davies won Best Series at The British Comedy Awards, and Flesh and Blood starring Christopher Eccleston won the Prix Europa for Best Film. He made the feature film The Last Yellow for BBC Films, which starred Samantha Morton, and most recently Byron, also for the BBC, with Jonny Lee Miller and Vanessa Redgrave. He came to America to do two episodes in the last season of Sex and the City for HBO, and as well as Entourage has also directed Rome for HBO. He lives mostly in London with his wife, the actress Branka Katic and two sons Louis and Joe. 
          ",Ten Count
Joss Whedon,1964,"
          Joss Whedon is the middle of five brothers - his younger brothers are   and  . Both his father,   and his grandfather,   were successful television writers. Joss' mother, Lee Stearns, was a history teacher and she also wrote novels as Lee Whedon. Whedon was raised in New York and was educated at Riverdale Country School, where his mother also taught. He also attended Winchester College in England for two years, before graduating with a film degree from Wesleyan University. After relocating to Los Angeles, Whedon landed his first TV writing job on ""Roseanne"", and moved on to script a season of ""Parenthood"". He then developed a film script which went on to become   (1992). Whedon was very unhappy with the final film - his original script was extensively re-written and made lighter in tone. After this he earned screenwriting credits on such high profile productions as   (1997) and   (1995), for which he was Oscar nominated. He also worked as a 'script doctor' on various features, notably   (1994).  In 1997, Whedon had the opportunity to resurrect his character Buffy in a television series on The WB Network. This time, as showrunner and executive producer, he retained full artistic control. The series, ""Buffy the Vampire Slayer"" was a popular and critical hit, which ran for several seasons, the last two on UPN. Whedon also produced a spin-off series, ""Angel"", which was also successful. A foray in to sci-fi television followed with ""Firefly"", which developed a cult following, but did not stay on air long. It did find an audience on DVD and through re-runs, and a spin-off feature film   (2005) was released in 2005. Other projects have included comic book writing, the sci-fi drama ""Dollhouse"" and the screenplay for Marvel blockbuster   (2012). 
          ",The Nevers;Avengers: Age of Ultron;Agents of S.H.I.E.L.D.;Much Ado About Nothing;The Avengers;Glee;Dollhouse;Commentary! The Musical;Dr. Horrible's Sing-Along Blog;The Office;Serenity;Angel;Buffy the Vampire Slayer;Firefly
Seth Gordon,,"
          Seth Gordon is a producer and director, known for   (2005),   (2007) and   (2010). 
          ",The Goldbergs;The Jim Gaffigan Show;Bored to Death
Dean Holland,,,Hungry;Acapulco;Home Economics;The Unicorn;Bless This Mess;Single Parents;Splitting Up Together;The Good Place;Ghosted;Trial & Error;Love;Brooklyn Nine-Nine;The Grinder;Parks and Recreation;Growing Up Fisher;Breaking In;Blue Mountain State;Parks and Recreation: Road Trip;The Office;Parks and Recreation Is the Wu-Tang of Comedy;2007 MTV Movie Awards
Lee Eisenberg,,"
          Lee Eisenberg is a producer and writer, known for   (2005),   (2009) and   (2011). 
          ",Angry Birds;The Office;Lucky;The Mind of the Married Man;Bedazzled
Gene Stupnitsky,1977,"
          Gene Stupnitsky was born on August 26, 1977. He is a producer and writer, known for   (2005),   (2019) and   (2011). 
          ",Angry Birds;The Office;Curb Your Enthusiasm
Mindy Kaling,1979,"
          Mindy Kaling was born on June 24, 1979 in Cambridge, Massachusetts, USA. She is an actress and producer, known for   (2005),   (2015) and   (2019). 
          ",Legally Blonde 3;Never Have I Ever;The Sex Lives of College Girls;Four Weddings and a Funeral;The Office;Late Night;Champions;The Mindy Project;The Office;House Poor;Saturday Night Live;Mindy and Brenda
Ed Helms,1974,"
          Ed Helms was born on January 24, 1974 in Atlanta, Georgia, USA. He is an actor and producer, known for   (2009),   (2005) and   (2015). 
          ","Rutherford Falls;The Fake News with Ted Nelms;Tiny Commando;Bluegrass Diva;UCB Comedy Originals;Zombie-American;I'm a Correspondent, Please Don't Fire Me"
Rodman Flender,1962,"
          Native New Yorker Rodman Flender has acted on Broadway, studied documentary filmmaking at Harvard University, and cut his filmmaking teeth as VP of Production for independent movie icon Roger Corman. His wide range of film and television directing credits reflect his eclectic interests, from straight-up horror like ""The Unborn"" and ""Scream - The TV Series"", to comedies such as NBC's ""The Office"" and ""Ugly Betty,"" comedy-horror mash-ups like HBO's ""Tales From the Crypt"" and the Columbia Pictures release ""Idle Hands,"" and documentary features including ""Conan O'Brien Can't Stop,"" one of Roger Ebert's Ten Best Documentaries of 2011. 
          ",Scene Snob Interviews;Beethoven's 5th;Idle Hands;Casper Meets Wendy;Carnosaur 3: Primal Species;Criminal Hearts;Black Scorpion;Carnosaur 2;Tales from the Crypt;Carnosaur;The Adams Chronicles
Claire Scanlon,,"
          Claire Scanlon directs single cam comedies for both network and cable. She started her career editing documentaries for PBS and the Discovery Channel. After supervising post and producing Last Comic Standing, she joined The Office in its fifth season. After directing The Office, Claire transitioned over to directing full time in 2013. 
          ","Kurt Vonnegut: Unstuck in Time;Last Comic Standing;Milk Carton Kids;Warner Bros. 75th Anniversary: No Guts, No Glory;Dying to Tell the Story;America's Teenagers Growing Up on Television;Frank Capra's American Dream"
Amy Heckerling,1954,"
          Amy Heckerling studied Film and TV at New York University and got a Masters Degree in Film from The American Film Institute. Despite this education she couldn't get a break in Hollywood. However, in 1982, she made   (1982), and people started to take notice. In 1985, while Amy was pregnant, she got the idea for   (1989). In 1994, Amy wrote   (1995). Amy is a liberal and also an environmentalist and helps environmental charities whenever she can. 
          ",Loser;Molly;A Night at the Roxbury;Clueless;Look Who's Talking Now;Life on the Flipside;Fast Times
Miguel Arteta,,"
          Miguel Arteta was born in 1965 in San Juan, Puerto Rico. He is a director and producer, known for   (2014),   (2002) and   (2009). He is married to  . 
          ",Getting On;Cousin Bobby
Roger Nygard,1962,"
          Roger Nygard is probably best known for his highly-successful and acclaimed documentary Trekkies, about the most obsessive fans in the Universe. Nygard's previous documentary, The Nature of Existence, addressed the impossible subject of the world's philosophies, religions, and belief systems. Nygard has made several other award-winning films, including the car-salesman cult-film, Suckers, and a a profile of UFO fanatics, Six Days In Roswell, and now the documentary The Truth About Marriage, accompanied by The Truth About Marriage companion book. Nygard has also directed television series such as ""The Office,"" and ""The Bernie Mac Show."" His work as a film editor includes ""Grey's Anatomy,"" ""The League,"" and Emmy-nominated episodes of ""VEEP"" and ""Curb Your Enthusiasm."" 
          ",The Comedy Store;The Truth About Marriage;The Relationship Doctrine of Don Blanquito;The Nature of Existence Companion Series;The Nature of Existence;CreepTales;Six Days in Roswell;High Strung
J.J. Abrams,1966,"
          Jeffrey Jacob Abrams was born in New York City and raised in Los Angeles, the son of TV producer parents. Abrams planned on going to dental school, but decided to study film at Sarah Lawrence College. At 15, he wrote the music for  's   (1982). In his senior year, he and   teamed up to write a feature film, which became   (1990). He went on to write and produce   (1991) and   (1992). He also co-wrote   (1997) with Mazursky. Along with other Sarah Lawrence alumni, he experimented with computer animation and was contracted to develop pre-production animation for   (2001). Abrams worked on the screenplay for   (1998) and co-created (as well as composing the opening theme of)   (1998), which ran for four seasons. He founded the production company Bad Robot in 2001 with  . He created and executive-produced   (2001) and   (2004), composing the theme music for both, and co-writing episodes of ""Lost"". He also co-wrote and produced thriller   (2001). He made his feature directing debut with   (2006), reinvigorating the series. He produced the hit mystery film   (2008) and co-created   (2008). He directed the   (2009) reboot, proving successful with fans and newcomers to the franchise. He next directed   (2011), co-produced by   and produced   (2011). He returned to direct the follow-up to his reboot,   (2013). Disney and Lucasfilm announced J.J. as their choice for director of the first episode in the new 'Star Wars' trilogy,   (2015). He initially resisted, as he didn't want to travel away from his family to London, but   convinced him that his voice would be the best to reinvigorate this franchise, as he had done with two others before. He also produced   (2015) and   (2016), and executive-produced   (2017). When it was announced that   would no longer direct   (2019), it was announced that J.J. would return to complete the trilogy he started. 
          ",Person of Interest;11.22.63;Almost Human;Revolution;Fringe;Alcatraz;Alias;Felicity
Craig Zisk,,"
          After graduating from The University of Southern California, Craig Zisk produced his first television series, COP ROCK, as the age of 25. A year later, he directed his first television series, BROOKLYN BRIDGE, on which he was also a producer. He has executive produced several series including THE LOOMING TOWER, BROOKLYN NINE-NINE, WEEDS, WU TANG: AN AMERICAN SAGA, UNITED STATES OF TARA and THE LARRY SANDERS SHOW. Mr. Zisk has also directed over 90 series including THE LOOMING TOWER, VEEP, THIS IS US, BRAVE NEW WORLD, FEAR THE WALKING DEAD, PREACHER, BROOKLYN NINE-NINE, PARKS & RECREATION, AMERICAN HORROR STORY, WEEDS, AGENT CARTER, THE GOOD WIFE, THE BIG C, NURSE JACKIE, UNITED STATES OF TARA, ENTOURAGE and THE OFFICE. He has also produced and directed several pilots for networks like AMC, SHOWTIME, NBC and ABC. Mr. Zisk's first feature, THE ENGLISH TEACHER, premiered at the Tribeca Film Festival in 2013. THE ENGLISH TEACHER starred Julianne Moore, Nathan Lane, Greg Kinnear, Michael Angarano and Lily Collins. Craig Zisk has been nominated for the Golden Globe on several occasions for producing WEEDS and won the award for both BROOKLYN BRIDGE and BROOKLYN NINE-NINE. He has also earned Emmy nominations for THE LOOMING TOWER, THE LARRY SANDERS SHOW and WEEDS, including multiple nominations for Best Director. 
          ",Family Ties
Stephen Merchant,1974,"
          Stephen Merchant was born on November 24, 1974 in Bristol, England. He is a producer and writer, known for   (2005),   (2019) and   (2017). 
          ",The Ark and the Aardvark;The Outlaws;Four Lives;A Boy Called Christmas;Locked Down;Dream Corp LLC;Home Movie: The Princess Bride;Modern Family;Jojo Rabbit;Critters: A New Binge;Good Boys;Ryan Hansen Solves Crimes on Television;Fighting with My Family;Click & Collect;The Good Place;The Girl in the Spider's Web;Sherlock Gnomes;Table 19;Logan;American Dad!;Donald Trump's The Art of the Deal: The Movie;The Simpsons;The Big Bang Theory;Lego Dimensions;Drunk History;Dream Corp LLC;Hello Ladies;Hello Ladies: The Movie;Robot Chicken;Short Poppies;Life's Too Short;I Give It a Year;Movie 43;Portal 2;Hall Pass;Gnomeo & Juliet;Burke and Hare;Jackboots on Whitehall;Cemetery Junction;Tooth Fairy;The Invention of Lying;Extras;Team Fortress 2;Run Fatboy Run;Hot Fuzz;24;Bromwell High;The Office Values: Microsoft UK Training with David Brent;Green Wing;Garth Marenghi's Darkplace;The Office;Comedy Lab
Reginald Hudlin,1961,"
          Reginald Hudlin was born on December 15, 1961 in Centerville, Illinois, USA. He is a producer and director, known for   (1990),   (2012) and   (2017). He has been married to   since November 30, 2002. They have two children. 
          ",53rd NAACP Image Awards;52nd NAACP Image Awards;51st NAACP Image Awards;50th NAACP Image Awards;Marvel TL;DR;House Party: Tonight's the Night;Black Panther;Robin Harris: Live from the Comedy Act Theater;Last Days of Russell;House Party 3;Bebe's Kids;House Party 2;House Party;House Party
Asaad Kelada,,"
          Asaad Kelada was born in Cairo, Egypt. He is a director and producer, known for   (1984),   (1990) and   (1992). 
          ",The Facts of Life
