name,rating,total_votes,user_reviews,critic_reviews,tags,storyLine,keyWords
The Death and Return of Superman,7.1,4.7K,8,3,Animation;Action;Sci-Fi,,superhero;dc comics;death in title;character name in title
Transparent,7.8,22K,116,40,Comedy;Drama,,transgender;ensemble cast;los angeles california;selfishness;family relationships;secret;transition;lesbian;coming out;father daughter relationship;father son relationship;transgender interest;domestic drama;dark comedy;timeframe 2010s;timeframe 21st century;portmanteau
Blackbird,6.6,4.3K,57,83,Drama,"Lily is dying and by the end of this weekend, she'll be dead. She suffers from amyotrophic lateral sclerosis and is planning to pursue euthanasia with the help of her husband Paul and invites her family and her longtime best friend Liz to the house so they can spend her final days together. But there's tension between her daughters, the uptight Jennifer and the wayward Anna, and it threatens to destroy her perfectly laid-out plan.",euthanasia;family gathering;terminal illness;assisted suicide;remake;american remake of danish film;foreign language adaptation;lesbian couple;thanksgiving;remake of european film;american remake of european film;american remake;remake of danish film;based on film;family breakfast;sodium pentobarbital;decorating a christmas tree;bowtie;vibrator;opening a christmas present;mother daughter relationship;sister sister relationship;smoking marijuana;amyotrophic lateral sclerosis;best friend;husband wife relationship;man with a beard;chicken;woman wears a bathrobe;family relationships;dancer;dancing;suv;salt and pepper shakers;salt and pepepr shakers as a gift;cake;woman combs her hair;teenage boy;mother son relationship;father son relationship;grandmother grandson relationship;grandfather grandson relationship;mother in law son in law relationship;father in law son in law relationship;aunt nephew relationship;friendship;coffee;husband kisses his wife on the top of her head;lesbian character;sportscar;red sportscar;brother in law sister in law relationship;making a bed;name calling;food;wine;crossword puzzle;kiss;looking out a window;memory;dropping a glass of wine;chablais wine;broken wine glass;charades the game;reference to harry potter;reference to king kong;candle;blowing out a candle;reference to led zepplin;whispering;sliding door;garden;medicine;paralysis;calling 911;pancakes;eating;reference to mahatma gandhi;salt;choking;christmas;inheritance;going for a walk;beach;walk on the beach;sex outdoors;crying woman;bathroom;mirror;looking at oneself in a mirror;pentobarbital;sweet potatoes;cooking;chopping down a tree;christmas tree;photographer;aspiring actor;taking a photograph;posing for a photograph;merry christmas;giving a toast;camera;french pinot noir wine;illegality;teen drinking;reciting poetry;poetry;book as a gift;money as a gift;necklace as a gift;blowing a kiss;ring as a gift;bracelet as a gift;wedding ring as a gift;crying man;singer;singing;song;jingle bells;reference to nina simone;death;metaphor;passing a marijuana joint;dying;rap poetry;love;pride;suicide attempt;reference to martha stewart;bipolar woman;cigarette smoking;serax the drug;doctor;xanax;lithium;mental illness;apology;promise;seeing one's father kiss a woman other than one's mother;photo album;photograph;throwing wine in someone's face;wife throws wine in husband's face;sex;man undresses;greenhouse;woman in a shower;suicide attempt with pills;worrying;helping someone walk;daughter helps her mother walk;husband helps his wife walk;daughter kisses her mother on her forehead;juice;ethics;suspicion of an extraarital affair;audio flashback during losing credits;fear;subjective camera;sisters hold hands;father and son hold hands;mother daughter embrace;mother nd daughter touch foreheads;nickname;montage;looking out a car rear window;song flashback during closing credits;cigarette;flower;timeframe 2010s;photograph on a refrigerator;one word title
Batman: Hush,6.9,18K,145,35,Animation;Action;Adventure,"BATMAN: HUSH is a thrilling mystery of action, intrigue, and deception based on the New York Times bestseller of the same name penned by Jeph Loeb (Batman: The Long Halloween) and illustrated by comics superstar Jim Lee (All Star Batman & Robin, The Boy Wonder). Batman sets out to discover the identity of a mysterious mastermind using the Joker, Riddler, Ra's al Ghul, and the Dark Knight's other enemies and allies as pawns in a plan to wreak havoc.",batman character;dc comics;based on comic book;bruce wayne character;lesbian kiss;dc animated movie universe;superhero;supervillain;gotham city;james gordon character;commissioner gordon character;psychotronic film;based on graphic novel;vigilante;revealing secret identity;love interest;implied sex;two word title;criminal mastermind;death of a friend;main character romance;poison ivy;pushed from a rooftop;selina kyle character;catwoman character;joker character;riddler character;poison ivy character;batgirl character;damian wayne character;robin character;barbara gordon character;scarecrow character;lady shiva character;alfred pennyworth character;bane character;nightwing character;dick grayson character;superman character;lois lane character;harley quinn character;reference to the justice league;lex luthor character;amanda waller character;thomas 'tommy' elliot character;hush character;billionaire;clark kent character;metropolis the city;hero villain team up;anti heroine;hero versus hero;mind control;kidnapping;hyena;opera;unlikely allies;kiss;funeral;framed for murder;empty grave;childhood friend;bat signal;secret identity;penguin character;two face character;mr. freeze character;grave;boyfriend girlfriend relationship;wayne manor;lexcorp;ransom money;breakup;hypnotic trance;hypnotized;blackgate penitentiary;kryptonite;daily planet;fear toxin;pheromone;clayface character;shapeshifter;arkham asylum;brain tumor;lazarus pit;inmate;tracking device;batarang;scar;metalworks;summer gleeson character;cemetery
Reign of the Supermen,6.7,14K,78,34,Animation;Action;Adventure,"After the death of Superman, several new people present themselves as possible successors.",superhero;shared universe;superman character;clark kent character;lois lane character;lex luthor character;cyborg superman character;eradicator character;conner kent character;superboy character;steel character;john henry irons character;wonder woman character;green lantern character;the flash character;cyborg character;martian manhunter character;batman character;g. gordon godfrey character;perry white character;jonathan kent character;martha kent character;mercy graves character;jimmy olsen character;darkseid character;cat grant character;title appears in writing;clone;cyborg;head of security;cemetery;visiting a grave;hank henshaw character;hawkman character;shapeshifter;reference to dr. frankenstein;reference to frankenstein's monster;psychotronic film;action hero;one man army;fistfight;hand to hand combat;love interest;kiss;battle;christ allegory;christ figure;showdown;dc animated movie universe;lexcorp;second part;sequel;dc comics;based on comic;based on comic book;title spoken by character
Star Trek: Short Treks,6.9,2.4K,40,6,Short;Action;Adventure,,psychotronic filmmaking;action filmmaking;adventure filmmaking;drama filmmaking;sci fi filmmaking;23rd century;32nd century;33rd century;2010s;star trek;2020s
Room 104,6.1,5.6K,72,15,Comedy;Drama;Fantasy,,female nudity;female frontal nudity;sex scene;anthology series;cheap motel;motel room;psychological horror;anthology;horror anthology;hotel guest;hotel room
The Meg,5.6,165K,1.6K,412,Action;Horror;Sci-Fi,,love interest;prehistoric animal;based on novel;shark;creature feature;survival;megalodon;giant shark;predator;deep sea;jaws;altered version of studio logo;submersible;chase;helicopter;giant animal;giant creature;giant monster;whale;dog;disaster;rescue;beard;beach;hero;shanghai china;thailand;doctor;sea monster;boat;yacht;interracial friendship;sea creature;wedding;bar;underwater rescue;giant squid;teeth;giant;great white shark;carcharodon;black comedy;betrayal;babe scientist;sea;elephant;tent pole;closer;historical;prehistory;dark;land;china;title spoken by character;ancient;two word title;no opening credits;flash forward;electronic music score;wisecrack humor;designer;engineer;african american;ethnic stereotype;japanese;subtitled scene;bilingualism;screaming;little girl;mother daughter relationship;father daughter relationship;grandfather granddaughter relationship;loss of father;death of grandfather;loss of grandfather;ex husband ex wife relationship;slow motion scene;explosion;exploding helicopter;underwater explosion;helicopter accident;helicopter crash;stupid victim;self sacrifice;killer shark;killer fish;monster movie;prologue;disaster film;fear;paranoia;danger;panic;sonar;nuclear submarine;escape;mission;diving suit;mercilessness;violence;deception;diving;evacuation;man versus nature;letter;obesity;australian;mercenary;bomb;rifle;machine gun;tracking device;harpoon;spear gun;near death experience;shark cage;animal attack;eaten alive;corpse;disembowelment;stabbed in the eye;skeleton;showdown;final showdown;deep sea diver;race against time;soldier;moral dilemma;flood;ocean;underwater scene;coming out of retirement;tragic past;action hero;anti hero;one man army;tough guy;warrior;reluctant hero;heroism;courage;reverse footage;surveillance;security camera;light;power outage;sabotage;surveillance footage;map;heart rate monitor;scientist;marine biologist;oceanographer;elevator;billionaire;crane;life jacket;lifeboat;raft;anchor;hydrofoil;severed arm;severed leg;ship;fishing boat;thrown from a boat;sinking ship;camera phone;product placement;beer;alcoholic;drunkenness;alcohol;drunkard;bald man;englishman abroad;false accusation;opening action scene;underwater flare;flare;rescue attempt;escape attempt;poetic justice;baseball cap;sunglasses;eccentric;translator;ambush;research station;tour;photograph;friendship;pilot;female pilot;disobeying orders;walkie talkie;lasersight;cameraman;american abroad;knife;crushed to death;jumping into water;innocent person killed;drowning;shower;cpr;ice lolly;obese boy;little boy;mother son relationship;infirmary;dinosaur;impalement;redemption;revenge;bartender;village;hypodermic needle;injection;drinking;fire;racial stereotype;professor;nosebleed;torpedo;taking a selfie;squid;jellyfish;credits rolling down;unexplored territory;shark attack;sunken submarine;deep sea rescue;deep sea exploration;deep sea trench;underwater exploration;tracker;depth charge;male doctor;human versus shark;medical officer;watercraft;girl;adult daughter;one man submersible;animal monster;shark fin fishing;shark fin above water;vibration;astounded;measurement;depth;trench;goatee;stubble;facial hair;bearded man;glasses;alarm;uniform;blonde woman;ponytail;brunette woman;nerd;radar;beret;embrace;landing pad;helipad;helicopter landing pad;school of fish;error;joystick;pod of whales;rock;waves crashing against rocks;area map;intruder;translation;tattoo;emergency;conference room;tattooed woman;framed photograph;argument;crew;employee;employer;employee employer relationship;investor;rich man;barge;river;junk;cafe;motorcycle;beer bottle;straw hat;ceiling fan;beer drinking;drinking beer from a bottle;drinking alcohol;visit;asking for help;plead for help;englishman in thailand;chinese in thailand;mobile phone;mobile telephone;cry for help;call for help;notepad;crash;thrown against a wall;attracted to light;injury;laptop computer;computer;notebook computer;sleeves rolled up;toy;sitting on the ground;sacrifice;decoy;apology;hospitalization;man in a shower;bleeding;stomach bandage;tattooed arm;turtleneck;desk;office;female computer voice;corridor;fake angel wings;cargo elevator;bubble;black man;pulley;binoculars;flotsam and jetsam;wreckage;plan;binocular vision;man swimming;man against nature;goggles;cage;medicine;last minute escape;oxygen tank;specialist;bait;biologist;red meat;red meat as bait;man eaten;falling into water;falling off a boat;leather jacket;winking;waving goodbye;giant statue;briton;united states of america;psychotronic film;aerial camera shot;cell phone;cell phone video;man wears sunglasses;woman wears sunglasses;child in jeopardy;man wrapped in a towel;murder of a man;man wears eyeglasses;murder;asian character;asia;pacific ocean;tourist;rescue expert;shark expert;dog survives;child;kid survives;killing a whale;swimsuit;wetsuit;rash guard;multinational;semtex;thermocline;shaped charge;casualty;zorbing;speedboat;character repeats someone else's dialogue;natural horror;hugging;killing an animal;kaiju;shark feature;personal watercraft;marianas trench;giant monster sci fi;nature horror;timeframe 2010s;timeframe 21st century;navy;swallow;hypothesis;fish;inferno;jurassic;killer;death;neutrality;tent boat;swimming;neutral zone;surfacing;coast;water;blood;california;darkness;night;death of father;based on book;surprise ending;male in towel;high tech;diver;submarine;rescue mission;extinct;cost;book;historian
The Death of Superman,7.3,16K,91,51,Animation;Action;Family,Superman battles against an insurmountable foe named Doomsday.,superhero;supervillain;first part;kiss;fight;funeral;rescue;picture;bridge;love note;group hug;blood;destruction;power;flying;torn clothing;tears;secret revealed;no opening credits;scene during end credits;human in outer space;superheroine;masked man;masked superhero;caped superhero;helicopter;reporter;female reporter;cyborg character;speedster metahuman;mayor;metahuman;police officer;explosion;atlantean;police car;female atlantean;weapons fire;flying superhero;pistol;flying cyborg;firearm;grapnel gun;handgun;uniformed police officer;winged humanoid;justice league;woman with long black hair;handheld weapon;computer tablet;woman with long hair;weapon;nighttime;suspension bridge;metropolis the city;alien superhero;spacecraft;deep sea;submarine;superhuman speed;heat vision;s.t.a.r. labs;giant statue;extraterrestrial alien;mustached man;extraterrestrial;ankle monitor;hall of justice;superhero team;statue of superman;view through video camera;bear;humanoid creature;smartphone;city;mansion;male kryptonian;alien;kryptonian;density shifting;energy construct;alien creature;long black hair;shield;lasso;policeman;red cape;sword;mausoleum;daily planet;memorial;action hero;tough guy;warrior;super villain;narcissist;good versus evil;father son relationship;mother son relationship;wayne manor;dog;husband wife relationship;love interest;secret identity;moral dilemma;death of superman;sequel;returning character killed off;self sacrifice;death of loved one;loss of loved one;action heroine;ambiguous ending;open ended;tough girl;surprise during end credits;female warrior;coffin;human alien;beaten to death;cape;fight to the death;laser;showdown;final showdown;super strength;final battle;super speed;invulnerability;crime fighter;masked hero;masked vigilante;costumed hero;costume;face mask;hologram;mind reading;telepathy;invisibility;amazon;amazon warrior;epic battle;bomb;explosive;battle;lasso of truth;battlefield;domino mask;trident;mace;fighting;fighting in the air;fistfight;combat;brawl;martial arts;mixed martial arts;hand to hand combat;head butt;punched in the face;beating;gunfight;shootout;laser gun;secret laboratory;revolver;machine gun;shotgun;police;investigation;limousine;detective;police detective;van;swat team;crushed to death;crushed by a car;hit by a car;water tower;chase;little boy;exploding body;exploding car;exploding truck;exploding ship;exploding gasoline station;boat;gas station;truck;crashing through a window;rooftop;fragments of glass;shockwave;apartment;news report;media coverage;watching tv;fictional city;restaurant;lexcorp;scientist;engineer;mad scientist;laboratory;murder;death;violence;brutality;mercilessness;hostage;held at gunpoint;explosive decompression;escape;deception;satellite;evacuation;fear;panic;danger;paranoia;survival;race against time;near death experience;chaos;spaceship;rampage;killing spree;helicopter accident;underwater scene;small town;alien monster;creature;monster;giant creature;giant;giant monster;alien technology;portal;wormhole;force field;outer space;meteorite;asteroid;mother box;earth viewed from space;spacewalk;space station;space shuttle;space debris;astronaut;female astronaut;crash landing;space rocket;fake beard;disguise;bald man;elevator;house arrest;filmed killing;robot;robot suit;submersible;water;flood;corpse;severed arm;mass death;journalist;female journalist;cell phone;camera phone;photograph;one against many;opening action scene;news reporter;photographer;cameraman;paris france;india;punched in the chest;gossip;butler;gang;gang member;attempted robbery;terrorism;hero;heroism;bravery;courage;christ allegory;knife;arm sling;statue;revelation;slow motion scene;supernatural power;child in jeopardy;old man;old woman;man wears a wig;murder of a police officer;saving a life;female wears eyeglasses;male wears eyeglasses;man wears eyeglasses;woman wears eyeglasses;shapeshifter;shapeshifting;shapeshifting alien;doomsday character;alfred pennyworth character;aquaman character;barry allen character;batman character;bruce wayne character;clark kent character;damian wayne character;hal jordan character;jimmy olsen character;jonathan kent character;lex luthor character;lois lane character;martha kent character;superman character;wonder woman character;green lantern character;hawkman character;martian manhunter character;the flash character;cat grant character;helping someone;magical ring;cyborg;space walk;hank henshaw character;terri henshaw character;girlfriend meets boyfriend's parents;selfie;psychotronic film;death in title;dc animated movie universe;female police officer;2010s;superman;body lands on a car;dc comics;based on comic book;character name in title;surprise ending
Thom Pain,6.7,83,,,Drama,,
Star Trek: Discovery,7.1,114K,4.1K,87,Action;Adventure;Drama,,starship;star trek;prequel television series;exploration;alien species;space exploration;alien;hovercar;psychotronic series;same sex couple;same sex marriage;homosexual;gay man;lgbt;three word series title;starship name in series title;outer space;shared universe;spaceship;spacecraft;lens flare;24th century;32nd century;time travel;23rd century;flying car;2010s;2020s;discovery the starship;friendship;teamwork;epic action;space adventure;quest adventure;space sci fi;epic sci fi;timeframe 2010s;timeframe 2020s;timeframe 23rd century;timeframe 24th century;timeframe 32nd century;science;technology;captain;alien race;alien planet;planet;vulcan;space western;prequel;female captain;ship captain;space battle;teleportation;phaser;fictional war;explosion;good versus evil;space travel;time travel sci fi;space opera
Permanent,5.6,2.2K,36,13,Comedy,,teenage girl;year 1982;small town;awkwardness;hairstyle;family relationships;junior high school;scene during opening credits;title directed by female;reference to richard nixon;photograph;reference to ronald reagan;pen;piggy bank;new girl in town;moving in;beauty salon;beauty school;hairdresser;french;mirror;looking at oneself in a mirror;wig;wig form;hand mirror;self consciousness;scholarship;school librarian;ice cream;public address system;poetry reading contest;microphone;feet on a desk;competition;face mask;somersault;leap frog;pounding fists;kiss;lawn tennis;mascot;men's locker room;shower;lemonade;aspiring artist;climbing a fence;caught on a fence;college fund;despair;hot tub;loneliness;sperm whale tooth;marital problem;restaurant;apology;whale;artist;couples counseling;pill popping;free spirit;magazine subscription;listening with ear against a wall;swimming;methodist;pre med student;college;jogging;watching tv;dolphin;butter;butter dish;comb;corn on the cob;first day of school;hair pick;school bus;teasing;afro hair style;name calling;bully;bullying;dog;teacher;pregnancy;class;classroom;flight steward;man wears a wig;forty something;hairpiece;sexual frustration;skeleton;onomatopoeia;whispering;swimming pool;speedo;swimsuit;book;doorbell;waitress;welcome wagon;gift coupon;wrestling;cheese;boil the sore;briefs;underwear;toupee;apricot orange cheese ball;foot massage;sleeping outside;upside down camera shot;girls' bathroom;virginity;toilet stall;pulling someone's hair;hair spray;metal detector;brass knuckles;glass bottle;snoring;whale call;neighbor;shortie nightgown;whale mating call;karate;karate class;nabia;dojo;finger wound;sense of smell;courage;money;money tree;scooter board hockey;p.e. class;teenage sex;coach;school gymnasium;girl fight;beating;redneck;school suspension;birthday;hugging;chicken as food;poem;working wife;working mother;bicycle;teenage boy;fingering;gymnastic rings;mask game;record player gesture;clothesline;working class poor;dysfunctional family;backyard barbecue;family therapy;ad;collecting soda cans;food;eating;therapist;group therapy;fear;drunkenness;jumping jacks;exercise;magazine;cat;triangle bell;knocking on a door;school principal;applause;face slap;reference to robert frost;hit in the face;hand holding;slow motion scene;dare;hair dryer;diving board;baldness;conga line;throwing something into a swimming pool;reference to hades the greek deity;new student;cafeteria;sex scene;self confidence;empowerment;alternative therapy;adolescent;father daughter relationship;mother daughter relationship;husband wife relationship;virginia the state;reference to jimmy carter;reference to gerald ford;reference to farrah fawcett;reference to dolly parton;reference to barbra streisand;reference to sonny and cher;reference to the captain and tenille;reference to nancy reagan;reference to mark twain;reference to albert einstein;father son relationship;brother brother relationship;boyfriend girlfriend relationship;african american;implied male nudity;reference to george washington;reference to john adams;reference to thomas jefferson;reference to james madison;reference to james monroe;reference to john quincy adams;reference to dale carnegie;reference to the elephant man;reference to ronald mcdonald;urination;woman sits on a toilet;reference to ernest l. thayer;scene during end credits;title photographed by female;triple f rated;f rated
Shimmer Lake,6.3,14K,88,20,Crime;Drama;Mystery,,backwards;sheriff;murder;investigation;bank robber;male objectification;male rear nudity;male nudity;male pubic hair;pubic hair;crotch grabbing;crotch grab;cmnm;cmnm scene;lake;two word title;clothed male naked male
Smurfs: The Lost Village,6,21K,97,109,Animation;Adventure;Comedy,"In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her best friends Brainy, Clumsy, and Hefty on an exciting and thrilling race, through the Forbidden Forest, filled with magical creatures to find a mysterious lost village before the evil wizard Gargamel does. Embarking on a roller-coaster journey full of action and danger, the Smurfs are on a course that leads to the discovery of the biggest secret in Smurf history!",cgi animation;based on comic book;heroine;sacrificing;strong female lead;strong female character;rabbit;friendship;solidarity;grief;mistrust;personal growth;greed;story continued during end credits;dialogue over end credits;cat;forest;blue skin;based on cartoon;based on tv series;sorcerer;evil sorcerer;escape;computer animation;reboot of series;creature;villain;journey;cgi film;self sacrifice;rescue;dog;sacrifice;altered version of studio logo;matriarchal society;all female army;matriarchy;female dominated society;wizard;gargamel character;cabin in the woods;colon in title;four word title;based on franco belgian comic book;slimehouse;shrekcore;dance;smurf;village;narcissist;fifth columnist;reboot
Adventure Time,8.7,88K,208,45,Animation;Action;Adventure,,boy;dog;human;cult tv;cartoon network;shapeshifter;sword;adoptive brother adopted brother relationship;friend;coming of age;best friends;male protagonist;bulldog;magical power;2d animation;traditional animation;2010s;title in title;cartoon dog;bubble gum;sudden change in size;changing size;child protagonist;hand drawn animation;male villain;boy hero;absurd comedy;absurdism;white male lead in a diverse cast;multiverse;teen adventure;surreal comedy;sword and sorcery fantasy;teen fantasy;timeframe 2010s;reality;candy land;candy;cloud;macintosh;kingdom;robot;talking animal;talking food;talking dog;gum;rainbow;adventurer;spell;anthropomorphism;vampire;unicorn;transformation;parallel universe;monster;creature;forest;penguin;fantasy world;magic;ice;post apocalypse;king;wizard;princess;surrealism;backpack;castle;anthropomorphic food
Army of One,5.1,7.6K,63,39,Biography;Comedy,,god character;construction worker;badlands;pakistan;osama bin laden;talking with god;vigilante;diabetes;hallucination;katana;hang glider;car;german car;mercedes benz;mercedes benz motor vehicle;mercedes benz s class;mercedes benz s klasse;mercedes benz s klasse w126;timeframe 21st century;timeframe 21th century;based on true story
Roadies,7.3,5.6K,60,6,Comedy;Drama;Music,,rock band;tour bus;music tour;englishman abroad;british actress playing american character;on the road;twin brother and sister;stalker;brother sister relationship;roadie
The Weezer Experience,4.3,9,,,Short;Comedy,,
Backstrom,7.4,9.5K,59,6,Comedy;Crime;Drama,,based on character from novel;21st century;surname as series title;character name as series title;based on literary character;timeframe 21st century;special crimes unit;police procedural;river barge;alcoholic cop;portland oregon;black detective;black police detective;french accent;gay friend;red raincoat
The Boy,5.5,5.3K,57,37,Drama;Horror;Thriller,"The Boy is a 2015 American horror film directed by Craig Macneill, written by Macneill and Clay McLeod Chapman, and starring Jared Breeze, David Morse, and Rainn Wilson. It is based on a short film by Macneill and Chapman, Henley, which was in turn loosely inspired by a novel written by Chapman, Miss Corpus. Breeze plays the titular boy, a budding serial killer.",9 year old;murder;child with a knife;son murders father;patricide;mass murder;killer child;boy kills man;child protagonist;child as main character;father son relationship;boy;major child role;motel;based on short film;boy wears underwear;killer as protagonist;mad child;teenager killed;young son;abused boy;boy in peril;crazy boy;desert;little boy;sexual promiscuity
Time Machine,,,,,Music,,
Uncanny,6.2,5.6K,51,31,Drama;Horror;Sci-Fi,"A technology reporter gets a week of exclusive access to the world's first perfect artificial intelligence. When the reporter begins a relationship with the scientist who created it, the A.I. begins to exhibit startling and unnerving emergent behavior.",cell phone photograph;education;psychotronic film;man wears eyeglasses;woman hugs a man;woman wears underwear;woman wears black lingerie;reference to massachusetts institute of technology;recluse;reference to the jonestown incident;reference to vincent van gogh;reference to henry ford;synthetic skin;sentience;reference to masahiro morii;reference to the turing test;reference to harry houdini;gift giving;woman wears a man's shirt;tackling someone;security alarm;scholar's mate in chess;aerated titanum;woman undresses for a man;reference to dustin hoffman;queen sacrifice;peeping tom;tear on cheek;sculpture of shiva;impersonated by an android;whispering;cooking dinner;yab yum sex position;woman wearing black bra and panties;reporter;artificial intelligence;scientist;deception;prosthetic penis;sex with an android;voice recorder;penile implant;prosthesis;watching porn;turning the tables;penthouse apartment;falling in love;butt crack;tied to a chair;sentient robot;chloroform;one location;panties pulled down;playing a video game;chessboard;touch screen;monitor;cctv;toy robot;placing hands over someone's eyes;internet research;hugging;robot hand;female reporter;genius;notepad;interview;checkmate;jealousy;love triangle;robot in love with human;rooftop;sex scene;seduction;voyeurism;hidden camera;eyeball;captivity;stairwell;security system;keypad;laser pointer;telephone call;cell phone;girl in bra and panties;minimal cast;reference to shiva the hindu deity;statue;loss of virginity;male virgin;laboratory;robotics;apartment;one word title;scene during end credits;pregnancy test;human pretending to be a robot;robot pretending to be human;catheter;primary objective;peeping;singularity of purpose;reference to benjamin franklin;mechanical hand;first fight;meditation;robot human relationship;gift;circuit board;artificial eye;reverse cowgirl sex position;menage a trois;holding hands;ping pong;titanium;artificial skin;playing chess;chess;android;dark
Good Samaritan,5.7,63,1,,Short;Horror;Mystery,,
Annoying Orange: Movie Fruitacular,3.9,28,,,Comedy,,
